filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_1630_VED_180425_week,349,179.123923407,1630,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500,3.884149114592939,0.0,8.96172606310955,0.0,30.5882358551,0.0,0.0,30.5882358551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.793893129771,0.0,494.6675220359624,0.0,1549.0,0.0,2.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,0.0,22.69083969465649,22.0,11.922154594427864,0.0,48.0,16.0,31.0,48.0,1,18,False,True,False,False,False,1.5208816399108829,0.0
Trip_793_VED_171101_week,340,1.62145105555,793,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500,24.604322181080533,20.392156601,13.952848555824604,11.764705658,68.2352981567,14.117647171,29.8039226532,56.4705924987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.6521739130435,1337.0,286.01066810999777,625.0,2425.0,1200.0,1450.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.26654064272212,36.0,20.042540825579746,0.0,64.0,16.0,52.0,64.0,1,18,False,False,True,False,False,7.506954390482121,
Trip_593_VED_171115_week,386,18.8884546759,593,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000,24.79750820767009,14.9019613266,18.04227947134952,0.0,78.0392150879,14.117647171,43.5294113159,78.0392150879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.6990654205608,1332.0,581.7619539524226,0.0,2848.0,1216.0,1376.0,2848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.61682242990654,50.0,19.4137123147325,0.0,74.0,35.0,57.0,74.0,1,18,False,True,False,False,False,4.157989135054529,0.0
Trip_27_VED_171108_week,609,13.8554027222,27,ICE,NO DATA,V6 3.8L,4-SP Automatic,NO DATA,NO DATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.455538221529,1113.0,501.5725972236586,634.0,2434.0,849.0,1689.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63494539781591,47.0,23.383907969179926,0.0,76.0,29.0,63.0,76.0,1,1,False,False,True,False,False,11.24736163858802,
Trip_3124_VED_180411_week,347,168.779312074,3124,HEV,NO DATA,6-GAS/ELECTRIC 3.3L,NO DATA,NO DATA,4000,36.11669108537581,37.254901886,20.14788715903224,12.9411764145,67.8431396484,14.9019613266,52.5490188599,54.9019632339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.178861788618,1295.0,186.88340168452203,1088.0,2075.0,1200.0,1444.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522357723577236,3.0,0.6067409266051021,1.0,3.0,2.0,3.0,2.0,44.83130081300813,52.0,17.302684413624203,0.0,67.0,40.0,56.0,67.0,1,18,False,True,False,False,False,11.067153755269556,0.0
Trip_663_VED_180117_week,482,80.9114893056,663,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.6691729323309,1765.0,372.9853503054679,762.0,3148.0,1699.0,1825.0,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.661654135338345,61.0,8.796424220175467,24.0,66.0,56.0,63.0,42.0,1,18,False,False,True,False,False,8.481526240620262,
Trip_810_VED_180328_week,199,152.75340787,810,ICE,NO DATA,4-FI 2.0L,AUTOMATIC/CVT,NO DATA,3000,28.46742337060672,23.137254715,16.46507520414219,10.9803924561,61.5686302185,12.9411764145,43.5294113159,50.5882377624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.8295964125562,1282.0,473.759126107938,594.0,2638.0,1168.0,1388.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.973094170403588,36.0,17.36075082511735,0.0,50.0,12.0,45.0,50.0,1,12,False,False,True,False,False,8.668129885096088,
Trip_1028_VED_180509_week,507,191.482739861,1028,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000,37.18767565318439,35.0980396271,22.693082140540746,9.80392169952,114.90196228,18.0392150879,54.509803772,105.09804058048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.9818181818182,1687.0,528.6789111421193,735.0,3033.0,1231.0,1997.0,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,0.0,57.78051948051948,53.0,38.26391666211613,0.0,114.0,31.0,99.0,114.0,1,18,False,False,True,False,False,8.473438427300195,
Trip_1608_VED_171206_week,228,38.8998486389,1608,ICE,NO DATA,6-FI 3.0L,AUTOMATIC,NO DATA,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.4584980237155,1194.0,518.6747041925456,749.0,3000.0,1059.25,1843.0,2251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1205533596838,53.0,24.493185402849,0.0,72.0,28.0,60.0,72.0,1,11,False,False,True,False,False,10.388325184233118,
Trip_1032_VED_171213_week,443,48.7379961204,1032,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3557934508816123,3.25,0.4057094891088453,3.0,4.25,3.0,3.5,1.25,27.146271498264703,22.1299991608,24.88045234637388,0.0,69.1800003052,0.409999996424,53.5,69.1800003052,0,14,False,False,False,True,True,1.0442800169263062,0.3064058207714428
