filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_956_VED_180124_week,455,86.8809431019,956,EV,Car,ELECTRIC,NO DATA,FWD,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.5932004689332,850.0,201.115472413392,600.0,1200.0,700.0,1050.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.2368112543962,750.0,349.9184993741458,250.0,1500.0,500.0,1000.0,1250.0,-0.0762016412661195,0.0,0.3421458818665556,-0.5,0.5,-0.5,0.0,1.0,48.045374131007655,59.594997406000005,23.20113449654021,0.0,71.5400009155,36.6800003052,63.912499427825,71.5400009155,0,18,True,False,False,False,True,,0.1682610271579488
Trip_4171_VED_181010_week,371,348.518056417,4171,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.135658914728682,6.25,0.2297880638493658,5.75,6.5,6.0,6.25,0.75,46.81392141952249,56.0,22.148888438940844,0.0,73.5100021362,34.969997406,63.3299980164,73.5100021362,0,14,False,False,False,True,True,0.5268371868760993,0.1270178128576094
Trip_2004_VED_180516_week,550,202.050254333,2004,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521115535046271,0.319999992847,0.322657018657383,0.280000001192,1.0,0.280000001192,1.0,0.7199999988079999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.147410358565736,19.0,0.6100682477659946,18.5,20.0,18.5,20.0,1.5,40.70636205179283,46.828125,16.204958045636268,0.0,59.84375,32.8203125,53.546875,59.84375,0,18,False,False,False,True,True,0.0,0.1421231278622983
Trip_4018_VED_181024_week,457,361.813135694,4018,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728123195669298,0.0,0.1088939679819839,0.0,0.280000001192,0.0,0.199999988079,0.280000001192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.8322875071306,1700.0,218.4050773048518,1300.0,2600.0,1600.0,1800.0,1300.0,8.409583571021107,8.5,0.329243456166656,8.0,9.0,8.0,8.5,1.0,51.17964739018825,59.09375,21.523101934030205,0.0,83.609375,35.53125,66.859375,83.609375,0,18,False,False,False,True,True,0.0,0.1721659918039489
Trip_3516_VED_181024_week,537,360.808551806,3516,PHEV,Car,4-GAS/ELECTRIC 1.5L,NO DATA,FWD,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.878145431574459,5.8799996376,0.0268742332126462,5.83999967575,5.92000007629,5.8799996376,5.8799996376,0.0800004005400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,0.0,36.72971854304636,44.234375,16.972358639619692,0.0,62.328125,26.828125,48.140625,62.328125,0,18,False,False,False,True,True,0.0,0.0860049876584552
Trip_2051_VED_181010_week,388,348.736921759,2051,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.64233576642336,0.0,67.98135191219197,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.1800486618005,564.0,907.0489436558626,0.0,4726.0,0.0,1442.0,4726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60492700729927,8.75,0.4849531989145733,7.75,9.5,8.25,9.0,1.75,36.55724375091993,39.0649986267,24.515932378311472,0.0,79.6800003052,15.0,58.0200004578,79.6800003052,0,14,False,False,False,True,True,6.863354986963173,0.0036670640599624
Trip_2742_VED_180425_week,371,182.702956185,2742,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8593984962406,11.75,0.292614305228301,11.25,12.25,11.75,12.25,1.0,52.14655519076199,59.6899986267,19.155203238756343,0.0,71.439994812,44.5499992371,65.5400009155,71.439994812,0,14,False,False,False,True,True,0.4587108820090099,0.1306211624637188
Trip_2246_VED_180627_week,550,244.795610944,2246,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1977904485515811,1.27999997139,0.1029251324006328,1.03999996185,1.27999997139,1.03999996185,1.27999997139,0.2400000095400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.0,900.0,900.0,900.0,900.0,0.0,35.76095238095238,35.5,0.4395728404704321,35.5,36.5,35.5,36.5,1.0,41.645654761904765,47.984375,22.26949045099103,0.0,69.0,26.078125,61.984375,69.0,0,18,False,False,False,True,True,0.0,0.1426954546300231
Trip_951_VED_180502_week,545,186.868987231,951,PHEV,Car,4-GAS/ELECTRIC 1.5L,NO DATA,FWD,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.379487049887949,5.35999965668,0.0200580355033632,5.35999965668,5.40000009537,5.35999965668,5.40000009537,0.0400004386899999,800.1153846153846,0.0,1121.719520813777,0.0,2799.0,0.0,2251.0,2799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,21.0,21.0,21.0,21.0,0.0,36.59765625,49.5546875,27.4592727091386,0.0,76.625,4.34765625,54.5546875,76.625,0,18,False,False,False,True,True,5.564428115331244,0.0028437809938002
Trip_3226_VED_180822_week,449,299.769576463,3226,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.3558597091532,0.0,771.2803334115948,0.0,2660.0,0.0,1412.0,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.779298545765613,25.75,0.7262560121692105,24.75,27.25,25.5,26.0,2.5,47.09670560186299,60.1899986267,26.422964975528675,0.0,77.2299957275,27.6199989319,68.7600021362,77.2299957275,0,14,False,False,False,True,True,3.236101849043845,0.0643275318946985
