filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_1243_VED_180822_week,560,296.962885917,1243,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0646871686108,128.0,925.5833915467013,0.0,4194.0,0.0,1438.0,4194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.577942735949097,24.0,0.4941496469442196,23.0,24.0,23.0,24.0,1.0,51.70307529162248,57.0,13.006484626416649,5.0,69.0,47.0,60.0,64.0,0,14,False,False,False,True,True,3.456089012011652,0.0224298949979791
Trip_2614_VED_180502_week,11,188.076857269,2614,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.19170168067227,16.25,0.4005120975599941,15.75,16.75,15.75,16.5,1.0,42.29354951962495,43.7199993134,11.904248149303667,8.73999977112,64.9599990845,34.962498664875,51.0099983215,56.21999931338,0,14,False,False,False,True,True,0.6704041273142071,0.1573672859162014
Trip_1395_VED_180516_week,398,202.068854935,1395,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.420856610801,1096.0,1104.8859554837206,0.0,3612.0,0.0,1626.5,3612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.675046554934823,19.0,0.4685756487031223,18.0,19.0,18.0,19.0,1.0,59.08752327746741,55.0,27.05763020125805,0.0,107.0,40.0,84.0,107.0,0,14,False,False,False,True,True,4.360279930082537,0.0147829761026342
Trip_1286_VED_180425_week,398,181.761854,1286,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.56,0.0,543.7937204152291,0.0,1660.0,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.190927835051546,9.0,0.3931133728525199,9.0,10.0,9.0,9.0,1.0,36.46474226804124,40.0,16.911183679512508,0.0,61.0,26.0,51.0,61.0,0,14,False,False,False,True,True,1.3531439401134362,0.0724092930514001
Trip_2638_VED_180418_week,371,169.840241056,2638,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3107585139318885,2.5,0.4973616099493723,1.25,3.0,2.0,2.75,1.75,46.798946408134505,56.4099998474,21.868215986667124,0.0,68.4700012207,34.55749893185,64.13749885555,68.4700012207,0,14,False,False,False,True,True,0.536117882309552,0.2084397951190324
Trip_2080_VED_181017_week,398,356.699378528,2080,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0926860025221,0.0,787.0966219913901,0.0,2344.0,0.0,1498.0,2344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421815889029004,12.0,0.985319743533332,11.0,14.0,12.0,13.0,3.0,63.693568726355615,52.0,36.08800209932854,0.0,124.0,37.0,105.0,124.0,0,14,False,False,False,True,True,2.683826186837719,0.0583905255501971
Trip_2628_VED_180926_week,561,333.785511926,2628,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.8053461274845,0.0,808.495546372171,0.0,2364.0,0.0,1254.0,2364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.400274160383823,18.5,0.7464432767384925,17.0,20.0,17.75,19.0,3.0,33.374646191979195,38.1699981689,26.675397910386405,0.0,76.2699966431,0.5949999988075,59.76999855045,76.2699966431,0,14,False,False,False,True,True,5.434986891467545,0.0127371871591394
Trip_1008_VED_180221_week,398,119.725359528,1008,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0835734870317,1125.0,711.4598981227995,0.0,1887.0,0.0,1500.0,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,40.28530259365994,48.0,18.08032455358824,0.0,68.0,28.0,52.0,68.0,0,14,False,False,False,True,True,3.500203798562794,0.0222396741032468
Trip_1155_VED_171220_week,492,53.6759579444,1155,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.2634508348794,0.0,643.7984072757063,0.0,1419.0,0.0,1396.0,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5092764378478665,1.5,0.3552331098344794,1.0,2.0,1.5,2.0,1.0,77.8426629174397,91.5078125,35.12577938973168,0.0,120.75,57.63671875,103.96875,120.75,0,18,False,False,False,True,True,0.6583541537222474,0.213463190382246
Trip_2688_VED_180418_week,371,175.60452438,2688,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.312995245641838,11.25,0.3138557928532129,11.0,12.5,11.0,11.5,1.5,47.99624300522486,58.8799972534,22.799172230025327,0.0,71.0400009155,36.90500068665,64.8799972534,71.0400009155,0,14,False,False,False,True,True,0.5250868617602049,0.1847229848539392
