,RMSE,MAE,R2,Target
LightGBM,2.4154551414706766,1.2157684761911771,0.76815299453219,Combustion
Random Forest,1.9052359127698342,1.1826084936060322,0.8557549042188521,Combustion
XGBoost,2.3188428567987844,1.1572098978277205,0.7863287085758333,Combustion
Linear OLS,3.7874982332721134,2.0342757910358906,0.4299559513174437,Combustion
Linear Ridge,3.7845432859786152,2.0334644658920524,0.43084508336409544,Combustion
Linear Lasso,3.7793988638595675,2.0310663193566736,0.4323913640582261,Combustion
LightGBM,0.07135709387064228,0.036507472156856936,0.600594660987732,Electrico
Random Forest,0.061907411260610494,0.034462837205903395,0.6993751723369284,Electrico
XGBoost,0.06691647223198299,0.03635656215643505,0.6487586547579669,Electrico
Linear OLS,0.0860615600918318,0.04639204240536756,0.41902427544242515,Electrico
Linear Ridge,0.08603080317428242,0.046352331801826775,0.41943946265025867,Electrico
Linear Lasso,0.08687549669864178,0.04629168368747749,0.40798302649780094,Electrico
