filename,VehId,DayNum,Trip,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_1913_VED_180117_week,133,82.6954885,1913,0.0,0.0
Trip_754_VED_180815_week,608,289.915552176,754,0.0,0.0
Trip_324_VED_180919_week,610,324.636833,324,0.0,0.0
Trip_119_VED_180711_week,610,259.618164352,119,0.0,0.0
Trip_1816_VED_180221_week,478,114.590081898,1816,0.0,0.0
Trip_1392_VED_180905_week,603,315.668464815,1392,0.0,0.0
Trip_692_VED_180620_week,592,233.86087888,692,0.0,0.0
Trip_176_VED_171220_week,591,52.9783135278,176,0.0,0.0
Trip_1732_VED_180221_week,301,118.832706426,1732,0.0,0.0
Trip_3141_VED_180613_week,371,225.93651163,3141,0.0,0.0
Trip_726_VED_171108_week,216,9.89053216666,726,0.0,0.0
Trip_905_VED_180103_week,431,66.9002223518,905,0.0,0.015841554008609
Trip_1793_VED_180613_week,450,230.55943625,1793,0.0,0.0
Trip_1375_VED_180228_week,375,124.693232843,1375,0.0,0.0
Trip_179_VED_171115_week,220,16.5634176944,179,0.0,0.0
Trip_1488_VED_180425_week,462,176.878048833,1488,0.0,0.0
Trip_2117_VED_180711_week,468,259.847629296,2117,0.0,0.0
Trip_1464_VED_171220_week,289,51.8758325093,1464,0.0,0.0
Trip_703_VED_180613_week,463,225.901026472,703,0.0,0.0
Trip_810_VED_180228_week,584,124.469749324,810,0.0,0.0
Trip_1744_VED_180411_week,575,168.970128917,1744,0.0,0.0
Trip_1882_VED_180516_week,465,199.561131815,1882,0.0,0.0
Trip_1403_VED_171220_week,478,52.8448939074,1403,0.0,0.0
Trip_1983_VED_180131_week,393,96.8226901667,1983,0.0,0.0
Trip_736_VED_180613_week,595,229.591280019,736,0.0,0.0
Trip_2101_VED_180117_week,155,80.58495725,2101,0.0,0.0
Trip_1863_VED_180627_week,462,245.79223337,1863,0.0,0.0
Trip_1754_VED_181024_week,451,359.869558278,1754,0.0,0.0
Trip_1041_VED_180411_week,562,167.835684361,1041,0.0,0.0
Trip_1625_VED_180418_week,276,173.553623565,1625,0.0,0.0
Trip_1019_VED_171220_week,450,52.9336513056,1019,0.0,0.0
Trip_1087_VED_171213_week,537,46.938067787,1087,0.0,0.0
Trip_1039_VED_180801_week,145,277.822555148,1039,0.0,0.0
Trip_705_VED_171108_week,388,14.5962728889,705,0.0,0.0
Trip_679_VED_180718_week,577,263.569156102,679,0.0,0.0
